,Cash balance,Portfolio value,Total asset,Returns,Cum Returns,CumReturns
2008-12-31,100000.0,0.0,100000.0,,,1.0
2009-01-02,99003.72473,1009.044118,100012.768848,0.0001276884800001099,,1.00012768848
2009-01-05,97994.680612,2052.983444,100047.664056,0.0003489075285278975,,1.00047664056
2009-01-06,96995.58889,3024.32865,100019.91754,-0.0002773329718569473,,1.0001991754000001
2009-01-07,96005.55267399999,3918.11637,99923.669044,-0.0009622932948480933,,0.9992366904400001
2009-01-08,95066.08858,4652.53722,99718.6258,-0.0020519987502631842,,0.997186258
2009-01-09,94140.80113599998,5658.613832,99799.41496799998,0.0008101712929942106,,0.99799414968
2009-01-12,93175.40716399997,6573.763383,99749.17054699997,-0.0005034540634945017,,0.9974917054699999
2009-01-13,92217.31239499997,7442.322120000001,99659.63451499997,-0.0008976117947548934,,0.9965963451499998
2009-01-14,91346.20712999998,8208.874931,99555.08206099998,-0.0010490952983001067,,0.9955508206099999
2009-01-15,90560.35436499998,8847.665944,99408.02030899998,-0.0014771898024239505,,0.99408020309
2009-01-16,89834.38376399998,9726.449931,99560.83369499998,0.0015372339729227136,,0.9956083369499998
2009-01-20,89026.33103999999,10386.687384,99413.018424,-0.0014846728930857367,,0.99413018424
2009-01-21,88230.651258,11006.310787,99236.962045,-0.0017709589930074987,,0.99236962045
2009-01-22,87421.258119,11891.447365999999,99312.705485,0.0007632583509122881,,0.9931270548500001
2009-01-23,86684.531883,12397.754755000002,99082.286638,-0.002320134628039039,,0.9908228663800002
2009-01-26,85997.487566,13295.816528,99293.30409399999,0.0021297192783906738,,0.99293304094
2009-01-27,85217.539033,14061.74727,99279.286303,-0.00014117559212978303,,0.99279286303
2009-01-28,84466.87272299998,15006.780063999999,99473.65278699997,0.001957774791075284,,0.9947365278699997
2009-01-29,83768.05272399998,15701.985141000001,99470.03786499998,-3.6340497194142785e-05,,0.9947003786499997
2009-01-30,82951.00508499998,16303.88496,99254.89004499998,-0.00216294096813352,,0.9925489004499997
2009-02-02,82173.19883699997,16713.121208,98886.32004499997,-0.0037133686796984033,,0.9888632004499995
2009-02-03,81384.00258899997,17865.058126999997,99249.06071599996,0.003668259379405736,,0.9924906071599994
2009-02-04,80578.68403799998,18756.504890999997,99335.18892899997,0.0008677987718841429,,0.9933518892899994
2009-02-05,79859.06208299998,19176.04808,99035.11016299998,-0.0030208707431409465,,0.9903511016299995
2009-02-06,79119.76841299998,20716.803675,99836.57208799999,0.008092704937480155,,0.9983657208799995
2009-02-09,78291.09626599998,21956.226318,100247.32258399998,0.00411422875815437,,1.0024732258399995
2009-02-10,77328.14601899998,22675.169006,100003.31502499997,-0.0024340556207428365,,1.0000331502499995
2009-02-11,76609.74124099998,22733.442647999997,99343.18388899998,-0.006601092532132258,,0.9934318388899995
2009-02-12,75797.83257499998,23385.687174,99183.51974899997,-0.0016071977336503673,,0.9918351974899994
2009-02-13,74991.42956899997,24239.214630000002,99230.64419899997,0.00047512379192893306,,0.9923064419899994
2009-02-17,74183.45574799996,24655.339926,98838.79567399996,-0.003948866080262348,,0.9883879567399992
2009-02-18,73388.12220199997,25690.035168000002,99078.15736999997,0.0024217382897855355,,0.9907815736999994
2009-02-19,72585.30860299997,26581.211316,99166.51991899997,0.0008918469150573927,,0.9916651991899995
2009-02-20,71779.81735099998,27131.772438000004,98911.58978899998,-0.002570727804184547,,0.9891158978899995
2009-02-23,70981.824044,28558.024110000002,99539.84815399999,0.006351716379650041,,0.9953984815399997
2009-02-24,70165.880498,28360.934675999997,98526.81517399999,-0.010177160190486978,,0.9852681517399996
2009-02-25,69378.076757,29476.568259,98854.645016,0.0033273159334445968,,0.9885464501599996
2009-02-26,68581.41274999999,30681.146267999997,99262.55901799999,0.004126401970630411,,0.9926255901799995
2009-02-27,67774.01416399998,30514.596372,98288.61053599998,-0.009811841359272155,,0.9828861053599994
2009-03-02,66991.58861599996,31577.665680000002,98569.25429599997,0.0028553029539186703,,0.9856925429599994
2009-03-03,66202.14697399996,32046.031197000004,98248.17817099996,-0.003257365872281315,,0.9824817817099993
2009-03-04,65420.53645699996,32843.676474,98264.21293099996,0.00016320669042935165,,0.9826421293099994
2009-03-05,64638.54415999996,34489.856411999994,99128.40057199995,0.008794530737317618,,0.9912840057199994
2009-03-06,63836.454475999955,35241.378084,99077.83255999995,-0.0005101263785979304,,0.9907783255999995
2009-03-09,63035.51406499996,34781.63571,97817.14977499997,-0.012724165965545708,,0.9781714977499996
2009-03-10,62262.58882699996,35077.81759200001,97340.40641899998,-0.004873821789907029,,0.9734040641899996
2009-03-11,61500.027574999964,37118.627739,98618.65531399997,0.013131739860400726,,0.9861865531399995
2009-03-12,60710.26953799996,37530.907632,98241.17716999995,-0.003827654542623238,,0.9824117716999992
2009-03-13,59928.37562899996,39231.36882,99159.74444899996,0.009350124921757574,,0.9915974444899993
2009-03-16,59127.735448999956,40517.11575,99644.85119899995,0.004892174265833216,,0.9964485119899993
2009-03-17,58317.393133999954,40954.813407,99272.20654099996,-0.0037397281797910686,,0.9927220654099994
2009-03-18,57514.35757699996,42571.907352,100086.26492899997,0.00820026487135439,,1.0008626492899995
2009-03-19,56695.66705099996,44951.039937,101646.70698799996,0.015590971049893376,,1.0164670698799994
2009-03-20,55847.53422199996,45326.424527999996,101173.95874999996,-0.004650895754604312,,1.0117395874999995
2009-03-23,55008.15598999996,46172.16598499999,101180.32197499996,6.289390153968455e-05,,1.0118032197499995
2009-03-24,54147.46206199996,48056.084936,102203.54699799996,0.010112885618735579,,1.0220354699799996
2009-03-25,53202.98483099996,49072.567791,102275.55262199996,0.0007045315560467724,,1.0227555262199997
2009-03-26,52301.350130999956,50267.303294,102568.65342499995,0.0028657953487991605,,1.0256865342499997
2009-03-27,51394.887487999964,51334.69896,102729.58644799996,0.0015690273551038914,,1.0272958644799997
2009-03-30,50421.557001999965,51733.723254,102155.28025599997,-0.0055904653358134215,,1.0215528025599998
2009-03-31,49461.84994299996,52961.480835,102423.33077799996,0.002623951706933303,,1.0242333077799997
