,Cash balance,Portfolio value,Total asset,Returns,Cum Returns,CumReturns
2008-12-31,100000.0,0.0,100000.0,,,1.0
2009-01-02,99914.030004,85.880004,99999.910008,-8.999199999637497e-07,,0.99999910008
2009-01-05,99263.772859,753.059995,100016.83285400001,0.0001692286122922937,,1.00016832854
2009-01-06,99460.62484100001,554.938635,100015.56347600001,-1.2691643634155092e-05,,1.00015563476
2009-01-07,98517.38925600001,1461.7143150000002,99979.10357100001,-0.00036454231454430275,,0.99979103571
2009-01-08,97860.85287300001,2021.989455,99882.84232800001,-0.0009628136236652374,,0.9988284232800001
2009-01-09,97350.118292,2565.9696520000007,99916.087944,0.0003328461147591444,,0.9991608794399999
2009-01-12,97059.403844,2843.2086289999997,99902.612473,-0.0001348678804112824,,0.99902612473
2009-01-13,96739.88390299998,3122.19714,99862.08104299998,-0.00040570941036177643,,0.9986208104299997
2009-01-14,96326.77961899998,3511.5599689999995,99838.33958799997,-0.00023774244189633809,,0.9983833958799996
2009-01-15,95959.60962699997,3880.260039,99839.86966599997,1.532555535588287e-05,,0.9983986966599996
2009-01-16,95842.81596099997,4048.695264,99891.51122499997,0.000517243854311511,,0.9989151122499996
2009-01-20,95256.42972999997,4597.582308,99854.01203799997,-0.00037539913592388174,,0.9985401203799996
2009-01-21,94730.08665399997,4994.518041,99724.60469499997,-0.0012959653834515583,,0.9972460469499996
2009-01-22,94005.00151299995,5653.926192000001,99658.92770499995,-0.0006585836083370378,,0.9965892770499994
2009-01-23,93360.07334499997,6271.175285,99631.24862999997,-0.00027773803749842063,,0.9963124862999996
2009-01-26,92847.36667499997,6892.7804879999985,99740.14716299997,0.0010930158408875013,,0.9974014716299995
2009-01-27,92108.29177399997,7662.310875,99770.60264899996,0.00030534831626249925,,0.9977060264899994
2009-01-28,91580.44358299997,8341.316499999999,99921.76008299997,0.0015150498241629506,,0.9992176008299994
2009-01-29,90982.38359999997,8822.605116,99804.98871599998,-0.0011686280035799745,,0.9980498871599995
2009-01-30,90415.82359199997,9237.858999999999,99653.68259199997,-0.0015160176454761531,,0.9965368259199995
2009-02-02,89838.54319199997,9535.5494,99374.09259199997,-0.0028056163377794263,,0.9937409259199995
2009-02-03,89355.93269199997,10236.438339,99592.37103099997,0.002196532650579064,,0.9959237103099995
2009-02-04,88860.96110599997,10725.609736999999,99586.57084299996,-5.823928017745228e-05,,0.9958657084299993
2009-02-05,88336.84111899996,11186.429646,99523.27076499996,-0.0006356286541866485,,0.9952327076499994
2009-02-06,88168.46113099996,11670.87,99839.33113099996,0.003175743357011429,,0.9983933113099994
2009-02-09,87731.57113099996,12328.840289,100060.41141999996,0.002214360678257421,,1.0006041141999995
2009-02-10,87781.62674999997,12137.920853,99919.54760299997,-0.0014077877054564647,,0.9991954760299996
2009-02-11,87267.62760299996,12299.239896,99566.86749899996,-0.0035296407205652747,,0.9956686749899994
2009-02-12,87125.58760499995,12436.209907,99561.79751199995,-5.0920422901334916e-05,,0.9956179751199994
2009-02-13,86705.48759999995,12953.509978999999,99658.99757899994,0.0009762787477625157,,0.9965899757899994
2009-02-17,85978.85760199995,13486.889878,99465.74747999995,-0.0019391134136865773,,0.9946574747999994
2009-02-18,85353.15760499994,14433.559874999999,99786.71747999993,0.0032269400083131394,,0.9978671747999993
2009-02-19,85187.38761499994,14733.899767,99921.28738199994,0.0013485752953741326,,0.9992128738199993
2009-02-20,84849.20762299994,15104.330389,99953.53801199993,0.00032276035312372997,,0.9995353801199993
2009-02-23,84517.34760099993,15421.959502000002,99939.30710299993,-0.0001423752403671985,,0.9993930710299992
2009-02-24,84422.58760899992,14846.469747,99269.05735599992,-0.006706567880335967,,0.9926905735599991
2009-02-25,84041.32761699992,15368.190261000002,99409.51787799991,0.0014149476759537372,,0.994095178779999
2009-02-26,83447.8732919999,16065.051851999999,99512.9251439999,0.0010402149432702235,,0.9951292514399989
2009-02-27,82937.1956979999,15762.139803000002,98699.33550099989,-0.008175718298127688,,0.9869933550099987
2009-03-02,82497.96571199989,16356.670361,98854.63607299989,0.0015734713026351876,,0.9885463607299986
2009-03-03,82147.1257099999,16430.99,98578.11570999991,-0.0027972422334929803,,0.9857811570999988
2009-03-04,81799.22570999991,16771.609763,98570.83547299991,-7.38524666206164e-05,,0.9857083547299988
2009-03-05,81367.24572299991,17820.50938,99187.75510299992,0.006258642599909603,,0.9918775510299989
2009-03-06,80945.34574099991,18060.480637999997,99005.8263789999,-0.001834185316636039,,0.9900582637899987
2009-03-09,80546.02572299991,17914.700328,98460.72605099992,-0.0055057398936635416,,0.9846072605099989
2009-03-10,80129.7157139999,18146.390293,98276.10600699991,-0.0018750627931016783,,0.9827610600699989
2009-03-11,79651.17096099991,19117.920893000002,98769.09185399991,0.005016334763659591,,0.9876909185399989
2009-03-12,79222.65006799992,19274.861034999998,98497.51110299991,-0.0027496532154153153,,0.9849751110299989
2009-03-13,78694.96007499991,20346.345034,99041.3051089999,0.00552089083176277,,0.990413051089999
2009-03-16,78053.90719199993,21321.842092000006,99375.74928399993,0.003376815103879771,,0.9937574928399994
