,Cash balance,Portfolio value,Total asset,Returns,Cum Returns,CumReturns
2008-12-31,100000.0,0.0,100000.0,,,1.0
2009-01-02,99756.460009,240.300009,99996.760018,-3.239982000002861e-05,,0.99996760018
2009-01-05,99516.16,493.2,100009.36,0.00012600390250372406,,1.0000936
2009-01-06,99269.56,731.970027,100001.530027,-7.829240183121478e-05,,1.00001530027
2009-01-07,99025.569991,961.559964,99987.129955,-0.00014399851678381648,,0.9998712995500001
2009-01-08,98785.18,1174.5,99959.68,-0.0002745348827629668,,0.9995968000000001
2009-01-09,98550.28,1444.5,99994.78,0.00035114158028526354,,0.9999478000000002
2009-01-12,98309.53,1674.54,99984.06999999999,-0.00010710559091187122,,0.9998407000000001
2009-01-13,98070.31,1794.2400000000002,99864.55,-0.00119539042569472,,0.9986455000000002
2009-01-14,97846.03,2000.700081,99846.730081,-0.00017844088818308457,,0.9984673008100001
2009-01-15,97623.729991,2165.3999099999996,99789.129901,-0.0005768859926937875,,0.9978912990100001
2009-01-16,97407.19,2513.609901,99920.799901,0.0013194823938302846,,0.9992079990100002
2009-01-20,97178.680009,2744.28,99922.960009,2.1618201637041423e-05,,0.9992296000900002
2009-01-21,96949.990009,2832.569883,99782.559892,-0.0014050836463146421,,0.9978255989200002
2009-01-22,96732.100018,3205.4401260000004,99937.540144,0.0015531797557382099,,0.9993754014400001
2009-01-23,96503.140009,3667.9500000000003,100171.09000899999,0.0023369583107957226,,1.0017109000900002
2009-01-26,96258.610009,4055.04,100313.65000899999,0.0014231651066909379,,1.0031365000900003
2009-01-27,96005.170009,4325.3099999999995,100330.48000899999,0.00016777377753163236,,1.0033048000900002
2009-01-28,95750.740009,4796.820162,100547.560171,0.0021636511853679874,,1.0054756017100004
2009-01-29,95484.25,5075.28,100559.53,0.00011904643911431201,,1.0055953000000002
2009-01-30,95217.13,5176.8,100393.93000000001,-0.0016467857397503005,,1.0039393000000003
2009-02-02,94958.29000000001,5292.0,100250.29000000001,-0.0014307637921934235,,1.0025029000000003
2009-02-03,94706.29000000001,5862.780198,100569.070198,0.0031798431505782876,,1.00569070198
2009-02-04,94439.799991,6168.599793,100608.39978400001,0.00039107039492924933,,1.00608399784
2009-02-05,94171.6,6190.56,100362.16,-0.002447507211412403,,1.0036216
2009-02-06,93913.66,6473.25,100386.91,0.00024660688849253987,,1.0038691
2009-02-09,93654.73000000001,6931.080234000001,100585.810234,0.0019813363515224225,,1.00585810234
2009-02-10,93388.14999100001,7112.61,100500.75999100001,-0.0008455491167405071,,1.00500759991
2009-02-11,93124.71999100002,7005.599748,100130.31973900001,-0.003685944783235251,,1.00130319739
2009-02-12,92874.52000000002,7255.799739,100130.31973900001,0.0,,1.00130319739
2009-02-13,92624.32000900002,7943.400000000001,100567.72000900001,0.00436830992990056,,1.0056772000899998
2009-02-17,92359.54000900002,7865.010279000001,100224.55028800001,-0.003412324759567875,,1.00224550288
2009-02-18,92105.83000000002,8190.720288,100296.55028800001,0.0007183868602362864,,1.0029655028799997
2009-02-19,91849.86999100001,8488.26,100338.12999100001,0.00041456762850367035,,1.0033812999099998
2009-02-20,91592.64999100001,8607.779693999999,100200.42968500001,-0.001372362690159279,,1.0020042968499998
2009-02-23,91339.48000000001,8379.0,99718.48000000001,-0.004809856469828566,,0.9971847999999998
2009-02-24,91100.08000000002,7701.48,98801.56000000001,-0.009195086006124398,,0.9880155999999998
2009-02-25,90886.15000000002,8025.3,98911.45000000003,0.0011122294020460277,,0.9891144999999999
2009-02-26,90669.25000000003,7982.28,98651.53000000003,-0.0026278049710118934,,0.9865153
2009-02-27,90459.19000000003,7086.690351000001,97545.88035100003,-0.011207627991172586,,0.9754588035099999
2009-03-02,90277.47999100003,6908.400360000001,97185.88035100003,-0.0036905710287775673,,0.9718588035099999
2009-03-03,90104.76998200003,6546.0599999999995,96650.82998200002,-0.005505433166501095,,0.9665082998199999
2009-03-04,89945.10998200002,6845.580378000001,96790.69036000002,0.0014470685665715077,,0.9679069035999999
2009-03-05,89782.11997300002,6780.24,96562.35997300003,-0.0023590118651984904,,0.9656235997299999
2009-03-06,89624.43997300003,6561.72,96186.15997300003,-0.003895927979651548,,0.96186159973
2009-03-09,89475.30997300002,7156.35,96631.65997300003,0.004631643472668534,,0.96631659973
2009-03-10,89316.27997300003,7302.959586,96619.23955900002,-0.00012853358830300365,,0.9661923955899999
2009-03-11,89157.51998200003,8214.66,97372.17998200003,0.00779286223361586,,0.9737217998200001
2009-03-12,88982.73998200003,8220.960432000002,97203.70041400004,-0.0017302639011588239,,0.9720370041400002
2009-03-13,88811.46997300003,9044.91,97856.37997300003,0.006714554653991289,,0.9785637997300002
2009-03-16,88626.87997300003,9733.499549999999,98360.37952300003,0.005150400516952036,,0.9836037952300001
2009-03-17,88432.20998200003,9689.490459,98121.70044100002,-0.0024265774812732843,,0.98121700441
2009-03-18,88242.21997300003,9977.76,98219.97997300002,0.0010016085285751153,,0.98219979973
2009-03-19,88050.33997300002,10632.330477,98682.67045000002,0.004710757191430881,,0.9868267045000001
2009-03-20,87849.72996400003,10551.059514,98400.78947800002,-0.0028564384274827326,,0.9840078947800002
2009-03-23,87654.33997300002,10494.000495,98148.34046800002,-0.0025655181359742762,,0.9814834046800002
2009-03-24,87463.53996400003,10926.72,98390.25996400003,0.002464835318116032,,0.9839025996400002
2009-03-25,87268.41996400003,10921.770513,98190.19047700003,-0.0020334277709318505,,0.9819019047700002
2009-03-26,87076.80995500003,11050.740000000002,98127.54995500004,-0.0006379509164375907,,0.9812754995500004
2009-03-27,86886.27995500003,11310.299469,98196.57942400004,0.0007034667535432693,,0.9819657942400004
2009-03-30,86694.57996400003,11043.000540000001,97737.58050400004,-0.004674286239830239,,0.9773758050400004
2009-03-31,86510.52995500003,11446.650000000001,97957.17995500003,0.0022468271658413475,,0.9795717995500004
2009-04-01,86322.87995500004,11500.380558,97823.26051300004,-0.0013671222677246186,,0.9782326051300005
2009-04-02,86137.38994600004,12003.390000000001,98140.77994600004,0.003245847984772565,,0.9814077994600006
2009-04-03,85946.85994600004,12124.799424,98071.65937000004,-0.0007043002515165764,,0.9807165937000005
2009-04-06,85757.40995500004,11893.05,97650.45995500004,-0.004294812769618961,,0.9765045995500006
2009-04-07,85574.43995500004,12711.599999999999,98286.03995500004,0.006508725102707169,,0.9828603995500007
2009-04-08,85381.83995500003,14544.360603000001,99926.20055800004,0.01668762525940548,,0.9992620055800007
2009-04-09,85164.75994600003,14418.719387999998,99583.47933400003,-0.003429743371470284,,0.9958347933400006
2009-04-13,84952.71995500004,14978.520621000001,99931.24057600004,0.003492157979674726,,0.9993124057600006
2009-04-14,84735.63994600004,15233.4,99969.03994600003,0.00037825378512379437,,0.9996903994600005
2009-04-15,84518.01994600004,15553.26,100071.27994600004,0.0010227166336220783,,1.0007127994600005
2009-04-16,84298.95994600005,16407.36,100706.31994600005,0.006345876662541716,,1.0070631994600006
2009-04-17,84071.07994600004,15978.24,100049.31994600005,-0.006523920250013027,,1.0004931994600006
2009-04-20,83852.19994600004,15664.32,99516.51994600004,-0.005325373528651367,,0.9951651994600006
2009-04-21,83640.51994600004,17131.499324999997,100772.01927100004,0.012615989040626108,,1.0077201927100004
2009-04-22,83412.09995500004,15636.240684,99048.34063900005,-0.017104734473610272,,0.9904834063900004
2009-04-23,83206.35994600004,16008.300000000001,99214.65994600004,0.0016791730777820923,,0.9921465994600004
2009-04-24,82998.45994600005,16447.86,99446.31994600005,0.002334937197044251,,0.9944631994600005
2009-04-27,82787.58994600005,16495.200711,99282.79065700005,-0.0016443975914723907,,0.9928279065700005
2009-04-28,82578.78993700005,16560.0,99138.78993700005,-0.0014504096736914773,,0.9913878993700005
2009-04-29,82371.78993700005,17532.449271,99904.23920800006,0.007720986623766857,,0.9990423920800006
2009-04-30,82155.33994600005,18007.2,100162.53994600005,0.002585483259246013,,1.0016253994600004
2009-05-01,81935.73994600005,17599.319252999998,99535.05919900004,-0.0062646249519859865,,0.9953505919900003
2009-05-04,81723.69995500005,17372.88,99096.57995500005,-0.004405274357885625,,0.9909657995500005
2009-05-05,81516.87995500004,18069.300765,99586.18072000003,0.004940642403827855,,0.9958618072000004
2009-05-06,81304.29994600004,19922.76,101227.05994600004,0.016476977168283558,,1.0122705994600003
2009-05-07,81072.63994600004,20201.399217,101274.03916300004,0.00046409741649178216,,1.0127403916300002
2009-05-08,80840.43995500004,22762.079999999998,103602.51995500004,0.022991882334744584,,1.0360251995500003
2009-05-11,80581.77995500003,22636.260000000002,103218.03995500004,-0.0037111066426472883,,1.0321803995500003
