,Cash balance,Portfolio value,Total asset,Returns,Cum Returns,CumReturns
2008-12-31,100000.0,0.0,100000.0,,,1.0
2009-01-02,99756.460009,240.300009,99996.760018,-3.239982000002861e-05,,0.99996760018
2009-01-05,99467.085712,546.4399999999999,100013.525712,0.00016766237223064806,,1.00013525712
2009-01-06,99100.695712,910.162886,100010.858598,-2.6667533026270007e-05,,1.00010858598
2009-01-07,98733.341416,1250.1056720000001,99983.447088,-0.0002740853381749675,,0.9998344708800001
2009-01-08,98388.025713,1562.0571300000001,99950.082843,-0.0003336976866844532,,0.9995008284300001
2009-01-09,98036.858574,1963.812846,100000.67142,0.0005061384199096519,,1.0000067142
2009-01-12,97689.582862,2281.914279,99971.497141,-0.00029174083119365424,,0.99971497141
2009-01-13,97346.980006,2487.5542700000005,99834.53427599999,-0.0013700191446252008,,0.9983453427599999
2009-01-14,97009.24858,2789.180081,99798.428661,-0.00036165456434322785,,0.9979842866099999
2009-01-15,96617.65684299999,3062.2033739999997,99679.860217,-0.0011880792672874785,,0.9967986021699999
2009-01-16,96099.519728,3759.081167,99858.600895,0.0017931473580610202,,0.9985860089499999
2009-01-20,95762.624024,4062.4312340000006,99825.05525800001,-0.00033593137395604433,,0.9982505525800001
2009-01-21,95428.59545000001,4222.053052,99650.64850200001,-0.0017471240616820927,,0.99650648502
2009-01-22,95108.63259800001,4835.740674000001,99944.37327200001,0.00294754499258576,,0.99944373272
2009-01-23,94737.656973,5410.696686,100148.353659,0.0020409391776849972,,1.00148353659
2009-01-26,94409.422216,5923.314172,100332.736388,0.0018410959567825014,,1.00332736388
2009-01-27,93984.822545,6383.981229,100368.803774,0.00035947774672973054,,1.00368803774
2009-01-28,93837.27639500001,6789.430169,100626.70656400001,0.002569551297838757,,1.00626706564
2009-01-29,93536.756393,7123.260088,100660.016481,0.00033102461699674457,,1.0066001648099998
2009-01-30,93149.94924500001,7333.057236000001,100483.00648100002,-0.0017584936520786965,,1.0048300648100001
2009-02-02,92772.052097,7481.314383999999,100253.366481,-0.0022853615555724627,,1.00253366481
2009-02-03,92405.494949,8239.568847,100645.063796,0.003907073934262595,,1.00645063796
2009-02-04,92020.822079,8698.856773,100719.67885200001,0.0007413682617485318,,1.0071967885200002
2009-02-05,91632.76781,8827.878543,100460.646353,-0.0025718161728914835,,1.00460646353
2009-02-06,91255.552097,9356.130000000001,100611.68209700001,0.0015034319356188597,,1.0061168209700002
2009-02-09,90871.88209700001,10031.080172000002,100902.96226900001,0.00289509295470447,,1.0090296226900002
2009-02-10,90476.73066200002,10384.121589999999,100860.85225200001,-0.00041733182111880485,,1.00860852252
2009-02-11,89936.23959200003,10383.203008,100319.44260000002,-0.005367886944354638,,1.003194426
2009-02-12,89476.74052100003,10819.602410999998,100296.34293200003,-0.0002302611278662825,,1.0029634293200003
2009-02-13,88907.81819200002,11939.433137,100847.25132900002,0.0054928064263868315,,1.00847251329
2009-02-17,88515.76533100002,11895.743488000002,100411.50881900002,-0.0043208169212113345,,1.00411508819
2009-02-18,88137.50817400002,12270.757144,100408.26531800002,-3.230208407534185e-05,,1.00408265318
2009-02-19,87866.07279,12516.985187,100383.057977,-0.00025104846618140275,,1.0038305797699998
2009-02-20,87622.40792700001,12454.149344,100076.55727100001,-0.0030533111082371445,,1.00076557271
2009-02-23,87150.67711200002,12552.846776,99703.52388800003,-0.0037274801729024754,,0.9970352388800001
2009-02-24,86602.91862600003,11983.22228,98586.14090600003,-0.01120705606408845,,0.9858614090600001
2009-02-25,86092.72666200003,12722.903084,98815.62974600004,0.002327800215030429,,0.9881562974600001
2009-02-26,85600.02590100003,13065.45179,98665.47769100004,-0.0015195172604369755,,0.9866547769100001
2009-02-27,85082.27349300003,12262.883165,97345.15665800002,-0.013381793347567728,,0.97345156658
2009-03-02,84575.47267100003,12410.552981,96986.02565200003,-0.0036892539734845187,,0.96986025652
2009-03-03,84052.61102900002,12411.240329999999,96463.85135900002,-0.005384015784641427,,0.9646385135899999
2009-03-04,83598.00316600002,13085.047552000002,96683.05071800003,0.002272347163335242,,0.96683050718
2009-03-05,83110.70602800003,13345.224339,96455.93036700002,-0.002349122719166763,,0.9645593036699999
2009-03-06,82655.78276800005,13337.676652000002,95993.45942000006,-0.004794634661034691,,0.9599345942000002
2009-03-09,82183.28575200004,13947.095860000001,96130.38161200004,0.0014263700134080626,,0.96130381612
2009-03-10,81890.72945900004,14240.854113,96131.58357200003,1.250343522873898e-05,,0.96131583572
2009-03-11,81472.88244800005,15813.381263,97286.26371100005,0.012011454467877325,,0.9728626371100002
2009-03-12,81182.63244800005,16070.549386000002,97253.18183400005,-0.00034004674183274464,,0.9725318183400001
2009-03-13,80891.91958700005,17292.430621,98184.35020800005,0.009574682868365159,,0.9818435020800002
2009-03-16,80636.58105800005,18099.384664999998,98735.96572300006,0.005618161283661216,,0.9873596572300003
2009-03-17,80371.61713700005,18027.895806,98399.51294300005,-0.003407601045235298,,0.9839951294300002
2009-03-18,80139.33707300005,18745.210011,98884.54708400005,0.004929233148551981,,0.9888454708400003
2009-03-19,79597.05931200004,19982.932821,99579.99213300004,0.0070328991688581866,,0.9957999213300002
2009-03-20,79207.72533900004,20073.84617,99281.57150900004,-0.002996793006384446,,0.9928157150900002
2009-03-23,78995.23662600003,20056.808371,99052.04499700002,-0.0023118742835291917,,0.99052044997
2009-03-24,78814.00213900003,20800.863084999997,99614.86522400004,0.005682065696039462,,0.9961486522400002
2009-03-25,78685.91809200004,20791.913907,99477.83199900003,-0.0013756302805998377,,0.9947783199900001
2009-03-26,78355.99094400003,21056.752523000003,99412.74346700004,-0.0006543018750212459,,0.9941274346700002
2009-03-27,78226.66776600003,21280.481874,99507.14964000003,0.0009496385443916733,,0.9950714964
2009-03-30,78139.22089500002,20622.069918,98761.29081300003,-0.007495530016671137,,0.98761290813
2009-03-31,77990.85892200003,21078.443688,99069.30261000003,0.0031187502154381708,,0.9906930261
2009-04-01,77868.13226000003,20930.448808,98798.58106800003,-0.0027326481045872875,,0.98798581068
2009-04-02,77744.84980600003,21920.352202,99665.20200800002,0.008771592978683795,,0.99665202008
2009-04-03,77412.71124100003,22540.090014,99952.80125500003,0.002885653580242842,,0.9995280125500001
2009-04-06,77290.14355300002,22304.234160000004,99594.37771300002,-0.003585927932980959,,0.9959437771300002
2009-04-07,76989.97811300002,23361.622077,100351.60019000003,0.0076030644940829895,,1.0035160019000002
2009-04-08,76859.807492,25028.733055000004,101888.54054700001,0.015315554052850455,,1.01888540547
2009-04-09,76703.74809600001,25099.339388999997,101803.08748500001,-0.0008386915892723001,,1.01803087485
2009-04-13,76489.89121300001,25793.422268000002,102283.31348100002,0.004717204633609695,,1.0228331348100002
2009-04-14,76438.200502,25842.203911999997,102280.404414,-2.8441266722856184e-05,,1.0228040441400001
2009-04-15,76324.305579,25850.117055000002,102174.42263400002,-0.001036188511447489,,1.0217442263400003
2009-04-16,75988.04558,26998.242946,102986.288526,0.007945881866229687,,1.0298628852600002
2009-04-17,75606.921293,26901.751067999998,102508.672361,-0.004637667517063848,,1.0250867236100003
2009-04-20,75232.23844100001,26793.91936,102026.15780100001,-0.004707060865062673,,1.0202615780100004
2009-04-21,74864.04845000002,28154.30029,103018.34874000002,0.00972486821404428,,1.0301834874000004
2009-04-22,74499.75417900001,27145.942488,101645.69666700001,-0.013324345515033809,,1.0164569666700003
2009-04-23,74136.34702200002,28055.288952000003,102191.63597400002,0.005371002658268509,,1.0219163597400005
2009-04-24,73765.64987400002,28466.71695,102232.36682400003,0.00039857322580072463,,1.0223236682400005
2009-04-27,73394.52844800003,28504.285839000004,101898.81428700003,-0.003262690157357251,,1.0189881428700005
2009-04-28,73045.27130300003,28754.028868,101799.30017100004,-0.0009765973892463808,,1.0179930017100007
2009-04-29,72750.16415800003,29963.941929000004,102714.10608700004,0.008986367435368736,,1.0271410608700007
2009-04-30,72408.86416900002,30701.326016,103110.19018500001,0.0038561801595633494,,1.0311019018500005
2009-05-01,72026.98130800002,30412.947416999996,102439.928725,-0.006500438596781066,,1.0243992872500003
2009-05-04,71707.11274900002,30544.96,102252.07274900001,-0.0018338159576847257,,1.0225207274900003
2009-05-05,71353.73274900002,31752.478921,103106.21167000002,0.008353267547902776,,1.0310621167000005
2009-05-06,70990.58131600003,33922.40937,104912.99068600003,0.01752347396665832,,1.0491299068600006
2009-05-07,70587.49703800002,34266.187257,104853.68429500001,-0.0005652912057146908,,1.0485368429500004
2009-05-08,70185.15848200001,36643.097358,106828.25584000001,0.01883168491671361,,1.0682825584000004
2009-05-11,69760.58990800001,36501.394830000005,106261.98473800001,-0.005300761465656834,,1.0626198473800004
