,Cash balance,Portfolio value,Total asset,Returns,Cum Returns,CumReturns
2008-12-31,100000.0,0.0,100000.0,,,1.0
2009-01-02,98950.234735,1069.374114,100019.60884900001,0.00019608849000007922,,1.00019608849
2009-01-05,97880.860621,2179.3834620000002,100060.244083,0.0004062726746045797,,1.00060244083
2009-01-06,96791.16889,3274.218612,100065.387502,5.140322259999941e-05,,1.00065387502
2009-01-07,95699.76268599999,4283.256420000001,99983.01910599999,-0.000823145725572294,,0.9998301910599999
2009-01-08,94628.94858099999,5125.937174999999,99754.88575599999,-0.0022817209566170504,,0.9975488575599999
2009-01-09,93603.76114599998,6239.003832,99842.76497799998,0.0008809515577505866,,0.9984276497799996
2009-01-12,92563.92717399998,7160.053383,99723.98055699999,-0.001189714858419233,,0.9972398055699998
2009-01-13,91541.06240499999,8111.562048000001,99652.624453,-0.0007155360586434956,,0.9965262445299998
2009-01-14,90527.117149,9010.104903,99537.222052,-0.0011580467813412376,,0.9953722205199997
2009-01-15,89525.994382,9858.30597,99384.300352,-0.0015363267815541315,,0.9938430035199999
2009-01-16,88540.16378500001,10937.000052,99477.16383700001,0.0009343878728440558,,0.9947716383699999
2009-01-20,87545.89105300001,11671.797384000001,99217.68843700002,-0.002608391614633887,,0.9921768843700001
2009-01-21,86573.24127100002,12435.060807,99008.30207800002,-0.00211037328422492,,0.9900830207800001
2009-01-22,85616.69813200003,13440.227346,99056.92547800003,0.0004911042708490854,,0.9905692547800004
2009-01-23,84656.68189300003,13987.864755000002,98644.54664800003,-0.004163048954023751,,0.9864454664800004
2009-01-26,83724.15757600003,15171.816528,98895.97410400002,0.0025488226622114585,,0.9889597410400004
2009-01-27,82775.91904300002,16184.27727,98960.19631300002,0.0006493915407765893,,0.9896019631300004
2009-01-28,81823.90273300001,17594.279892,99418.18262500002,0.00462798507949036,,0.9941818262500004
2009-01-29,80846.442739,18475.365141000002,99321.80788000001,-0.000969387514993425,,0.9932180788000002
2009-01-30,79874.05510000001,19180.52514,99054.58024000001,-0.0026905233171234944,,0.9905458024000002
2009-02-02,78915.02884300001,19663.271208,98578.300051,-0.0048082601313945705,,0.9857830005100001
2009-02-03,77978.682595,21096.868122,99075.550717,0.0050442203379725825,,0.9907555071700003
2009-02-04,77019.73404400001,21958.835102999998,98978.569147,-0.0009788648087056817,,0.9897856914700002
2009-02-05,76065.00208300001,22661.128080000002,98726.13016300002,-0.002550440829520051,,0.9872613016300004
2009-02-06,75120.78841300002,24620.553675,99741.34208800002,0.010283112721260812,,0.9974134208800003
2009-02-09,74135.96626600002,26147.166318,100283.13258400002,0.005431955141750544,,1.0028313258400003
2009-02-10,73130.30602300001,26810.589006,99940.895029,-0.0034127130473646794,,0.9994089502900002
2009-02-11,72137.32124500001,26841.042396,98978.36364100002,-0.009631006283470689,,0.9897836364100003
2009-02-12,71178.71258800001,27538.197174,98716.90976200001,-0.0026415255757138434,,0.9871690976200003
2009-02-13,70229.119582,28572.714359999998,98801.833942,0.00086027996829241,,0.9880183394200001
2009-02-17,69276.69576999999,28820.809926,98097.505696,-0.007128696076769914,,0.98097505696
2009-02-18,68346.992224,29753.715167999995,98100.707392,3.263789407581541e-05,,0.9810070739200001
2009-02-19,67417.188625,30816.431316000002,98233.619941,0.0013548582118669827,,0.9823361994100002
2009-02-20,66483.357373,30984.312438000004,97467.66981100001,-0.0077972300161596175,,0.9746766981100004
2009-02-23,65572.05406600003,32738.07411,98310.12817600003,0.008643464716388882,,0.9831012817600006
2009-02-24,64636.68052000002,32346.134675999994,96982.81519600001,-0.013501284197532382,,0.9698281519600004
2009-02-25,63738.17677900002,33952.088259,97690.26503800001,0.007294589671069662,,0.9769026503800003
2009-02-26,62820.552772000025,35339.186268,98159.73904000001,0.004805739874053749,,0.9815973904000003
2009-02-27,61890.57418600003,34779.246372,96669.82055800004,-0.015178508995351336,,0.9666982055800004
2009-03-02,60998.79863800004,35782.46568,96781.26431800003,0.0011528288700310974,,0.9678126431800003
2009-03-03,60104.236996000036,36204.66119700001,96308.89819300004,-0.0048807600141274055,,0.9630889819300004
2009-03-04,59221.196479000035,37428.816474,96650.01295300003,0.0035418820732058265,,0.9665001295300003
2009-03-05,58330.03418200004,38851.346412,97181.38059400005,0.005497853800168873,,0.9718138059400006
2009-03-06,57426.51449800003,39462.738084000004,96889.25258200004,-0.0030060080461342675,,0.9688925258200005
2009-03-09,56529.634087000035,38827.58571,95357.21979700003,-0.01581220562831176,,0.9535721979700003
2009-03-10,55666.798849000035,39689.777592,95356.57644100004,-6.746799050549868e-06,,0.9535657644100004
2009-03-11,54803.977597000034,42016.967739,96820.94533600003,0.015356768768916895,,0.9682094533600003
2009-03-12,53909.999560000026,42611.227631999995,96521.22719200002,-0.003095592001915448,,0.9652122719200001
2009-03-13,53022.26565100003,45026.10882,98048.37447100003,0.015821880050925996,,0.9804837447100001
2009-03-16,52103.36547100003,46529.11575,98632.48122100002,0.005957332318372588,,0.98632481221
2009-03-17,51172.78315600003,46632.643407,97805.42656300003,-0.008385215983230276,,0.9780542656300001
2009-03-18,50258.41759900003,48576.347352000004,98834.76495100003,0.010524348435175801,,0.9883476495100002
2009-03-19,49324.25707300003,51776.909937,101101.16701000003,0.02293122324036112,,1.0110116701000003
