,Cash balance,Portfolio value,Total asset,Returns,Cum Returns,CumReturns
2008-12-31,100000.0,0.0,100000.0,,,1.0
2009-01-02,99111.964726,902.2441140000001,100014.20884,0.00014208840000007328,,1.0001420884
2009-01-05,98209.720612,1833.7834440000001,100043.504056,0.00029291054080982093,,1.00043504056
2009-01-06,97292.82889,2726.118639,100018.947529,-0.00024545848560308947,,1.0001894752899998
2009-01-07,96384.12267699999,3544.1763840000003,99928.299061,-0.0009063129560897831,,0.9992829906099998
2009-01-08,95498.078581,4234.93722,99733.015801,-0.001954233803987626,,0.9973301580099999
2009-01-09,94651.09113699998,5150.363832,99801.45496899998,0.0006862237890865597,,0.9980145496899998
2009-01-12,93792.69716499999,5962.423383,99755.12054799999,-0.0004642659870478516,,0.9975512054799999
2009-01-13,92940.922396,6769.482120000001,99710.404516,-0.0004482580117627366,,0.9971040451599998
2009-01-14,92094.737131,7517.274903,99612.012034,-0.0009867824975497985,,0.9961201203399999
2009-01-15,91259.484364,8222.10597,99481.59033400001,-0.0013092969144672395,,0.9948159033399999
2009-01-16,90437.273767,9167.869953000001,99605.14372000001,0.0012419723647880687,,0.9960514371999999
2009-01-20,89603.831044,9853.077384,99456.90842800001,-0.0014882292867997027,,0.9945690842799999
2009-01-21,88782.74126200001,10522.110807000001,99304.85206900002,-0.0015288667363924091,,0.9930485206899999
2009-01-22,87973.34812300002,11382.647346,99355.99546900002,0.0005150141099294903,,0.9935599546899999
2009-01-23,87160.30188400001,11935.864755,99096.16663900002,-0.002615129854756093,,0.9909616663899999
2009-01-26,86364.57756700001,12929.736528000001,99294.31409500001,0.0019995471340665816,,0.9929431409499999
2009-01-27,85556.46903400001,13722.50727,99278.97630400001,-0.0001544679686826811,,0.99278976304
2009-01-28,84749.262724,14710.680054,99459.942778,0.0018228076148352201,,0.9945994277799998
2009-01-29,83932.002721,15523.905141,99455.907862,-4.0568251773565045e-05,,0.9945590786199997
2009-01-30,83114.955082,16131.324960000002,99246.280042,-0.0021077462818082093,,0.9924628004199998
2009-02-02,82308.388834,16573.121208,98881.510042,-0.003675402240221337,,0.9888151004199998
2009-02-03,81519.19258599999,17717.008122,99236.20070799999,0.0035870271990117164,,0.9923620070799998
2009-02-04,80713.874035,18607.504896,99321.378931,0.0008583382111799764,,0.9932137893099998
2009-02-05,79904.852083,19118.72808,99023.580163,-0.002998335013118192,,0.9902358016299998
2009-02-06,79108.23841300001,20716.803675,99825.04208800002,0.008093647227061851,,0.9982504208799998
2009-02-09,78279.56626600001,21956.226318,100235.79258400001,0.00411470396013347,,1.0023579258399997
2009-02-10,77435.096023,22558.089006,99993.185029,-0.002420368500570258,,0.9999318502899996
2009-02-11,76599.61124500001,22733.442647999997,99333.053893,-0.006601761268115847,,0.9933305389299997
2009-02-12,75787.702579,23385.687174,99173.389753,-0.0016073616358558418,,0.9917338975299996
2009-02-13,74981.299573,24239.214630000002,99220.514203,0.00047517232311378166,,0.9922051420299997
2009-02-17,74173.32575199999,24655.339926,98828.66567799999,-0.003949269242833231,,0.9882866567799996
2009-02-18,73377.992206,25690.035168000002,99068.027374,0.0024219865193757517,,0.9906802737399997
2009-02-19,72575.178607,26581.211316,99156.389923,0.0008919381090168876,,0.9915638992299997
