,Cash balance,Portfolio value,Total asset,Returns,Cum Returns,CumReturns
2008-12-31,100000.0,0.0,100000.0,,,1.0
2009-01-02,99756.460009,240.300009,99996.760018,-3.239982000002861e-05,,0.99996760018
2009-01-05,99516.16,493.2,100009.36,0.00012600390250372406,,1.0000936
2009-01-06,99033.91512800001,964.986013,99998.90114100001,-0.00010457880142411558,,0.9999890114100001
2009-01-07,98179.428917,1777.034526,99956.463443,-0.0004243816433560088,,0.99956463443
2009-01-08,97215.324828,2650.481178,99865.806006,-0.000906969233177235,,0.9986580600599999
2009-01-09,96236.94738499999,3691.7144740000003,99928.66185899999,0.0006294031512268372,,0.9992866185899998
2009-01-12,95267.71341699999,4622.355061,99890.06847799999,-0.0003862093245524667,,0.9989006847799998
2009-01-13,94357.798648,5418.006719,99775.805367,-0.0011438886041524876,,0.9977580536699999
2009-01-14,93436.85338300001,6256.783572,99693.63695500001,-0.0008235304310273417,,0.9969363695500001
2009-01-15,92626.30061700002,6927.437978,99553.73859500002,-0.0014032827397313374,,0.9955373859500002
2009-01-16,91804.09002000002,7911.4225369999995,99715.51255700002,0.001624991329136627,,0.9971551255700003
2009-01-20,90946.37730200001,8655.539907999999,99601.91721000001,-0.001139194334834115,,0.9960191721000001
2009-01-21,90049.64752000001,9375.173311999999,99424.82083200001,-0.0017780418586382796,,0.99424820832
2009-01-22,89191.83438300002,10373.213617,99565.04800000002,0.0014103839144650188,,0.9956504800000002
2009-01-23,88277.02814000002,11189.755165,99466.78330500002,-0.0009869396638065853,,0.9946678330500002
2009-01-26,87393.54382300001,12303.943927999999,99697.48775100001,0.002319411951752448,,0.99697487751
2009-01-27,86472.79529000001,13213.899328000001,99686.69461800001,-0.00010825882620990601,,0.99686694618
2009-01-28,85552.50898,14387.303493999998,99939.81247399999,0.002539133802860416,,0.9993981247399999
2009-01-29,84676.028975,15282.965346,99958.99432099999,0.00019193399032024772,,0.9995899432099998
2009-01-30,83729.461337,15974.402564,99703.863901,-0.002552350808779469,,0.99703863901
2009-02-02,82894.135089,16442.938812,99337.073901,-0.003678794237745975,,0.99337073901
2009-02-03,81992.938841,17801.352719,99794.29156,0.004602689016747874,,0.9979429156
2009-02-04,81069.180286,18823.176731,99892.357017,0.0009826760175060123,,0.9989235701700002
2009-02-05,80230.35833500001,19276.711004999997,99507.06934000002,-0.003857028590629974,,0.9950706934000003
2009-02-06,79433.744665,20786.434698,100220.179363,0.007166425739697058,,1.0022017936300003
2009-02-09,78567.602518,22099.301596999998,100666.904115,0.004457433172035508,,1.00666904115
2009-02-10,77882.652275,22539.383522999997,100422.035798,-0.0024324609875781,,1.00422035798
2009-02-11,77105.707497,22580.940281,99686.647778,-0.007322974625601497,,0.99686647778
2009-02-12,76321.59882999999,23216.930725,99538.52955499999,-0.0014858381368171303,,0.99538529555
2009-02-13,75487.39582499999,24270.313548000002,99757.70937299999,0.0022019595726385788,,0.99757709373
2009-02-17,74591.16200399998,24675.631146999996,99266.79315099998,-0.004921085549032145,,0.9926679315099999
2009-02-18,73795.82845799999,25681.545165,99477.37362299999,0.002121358667038775,,0.9947737362300001
2009-02-19,72936.13485699998,26624.968384,99561.10324099998,0.0008416951006096074,,0.99561103241
2009-02-20,71987.743605,27266.991158999997,99254.734764,-0.003077190459193524,,0.9925473476400002
2009-02-23,71246.01029600001,28417.969537,99663.979833,0.004123179312030656,,0.9966397983300004
2009-02-24,70376.86675000002,28054.226329999998,98431.09308000002,-0.012370434685287979,,0.9843109308000005
2009-02-25,69565.29300900002,29207.899137,98773.19214600002,0.0034755183072279205,,0.9877319214600006
2009-02-26,68768.629002,30287.601055999996,99056.230058,0.0028655337126455294,,0.9905623005800003
2009-02-27,67914.550416,29897.240678000002,97811.791094,-0.012562955033432521,,0.9781179109400002
2009-03-02,67132.12486799998,30802.205319,97934.33018699999,0.0012528049188080814,,0.9793433018700002
2009-03-03,66342.68322599998,31130.728836000002,97473.41206199999,-0.004706399932688621,,0.9747341206200002
2009-03-04,65490.112708999986,32054.116852999996,97544.22956199998,0.0007265314561364367,,0.9754422956200001
2009-03-05,64671.90040999999,33554.638881,98226.539291,0.006994875371549636,,0.9822653929100003
2009-03-06,63887.33072599998,34180.46382700001,98067.79455299999,-0.0016161084279852078,,0.9806779455300002
2009-03-09,63069.82031499998,33975.660338,97045.48065299998,-0.010424562973601947,,0.9704548065300002
2009-03-10,62226.215076999986,34387.29019100001,96613.505268,-0.004451267406717974,,0.9661350526800003
2009-03-11,61463.65382499999,36568.050772,98031.70459699999,0.0146791002465545,,0.9803170459700002
2009-03-12,60635.05578799998,37008.024298,97643.08008599997,-0.003964273727541712,,0.9764308008600001
2009-03-13,59796.07187599999,38899.445639,98695.51751499998,0.01077841284884773,,0.9869551751500002
2009-03-16,58933.901695999986,40358.71295,99292.61464599999,0.006049891079493497,,0.9929261464600001
2009-03-17,58080.29938299998,40795.991915,98876.29129799998,-0.004192893393776487,,0.9887629129800001
2009-03-18,57241.723823999986,42444.403514,99686.12733799999,0.008190396599314864,,0.9968612733800001
2009-03-19,56508.31329799999,44755.617464,101263.93076199999,0.015827713104454633,,1.01263930762
2009-03-20,55682.470469999986,45067.487994999996,100749.95846499997,-0.005075571263454148,,1.00749958465
2009-03-23,54893.23223699999,45789.37405099999,100682.60628799998,-0.0006685082358955929,,1.0068260628799999
2009-03-24,54111.89830599999,47598.6184,101710.516706,0.010209414077538836,,1.01710516706
2009-03-25,53459.38107499998,48255.446584000005,101714.82765899999,4.2384535440476157e-05,,1.01714827659
2009-03-26,52600.32637699998,49349.56862700001,101949.89500399999,0.0023110430446589003,,1.01949895004
2009-03-27,51776.81373599998,50334.124728,102110.93846399998,0.0015796334071129792,,1.02110938464
2009-03-30,51210.82326199998,50242.366281999995,101453.18954399998,-0.006441512828049167,,1.01453189544
2009-03-31,50522.21620099998,51245.504179,101767.72037999998,0.003100255767351623,,1.0176772038
2009-04-01,49764.39946999998,51198.192381999994,100962.59185199998,-0.007911433261879708,,1.0096259185199998
2009-04-02,48936.42117399999,54500.373997,103436.79517099999,0.024506139091861945,,1.0343679517099997
2009-04-03,48068.25847799999,56287.880946000005,104356.139424,0.008887980833901077,,1.0435613942399997
2009-04-06,47478.28818099999,56698.020959999994,104176.30914099998,-0.001723236256080396,,1.0417630914099996
2009-04-07,46612.80714099999,57515.835116,104128.642257,-0.00045755973112338033,,1.0412864225699998
2009-04-08,45839.68530899999,58323.787045000005,104163.472354,0.00033449103191074414,,1.0416347235399999
2009-04-09,45038.107372999984,58031.738306,103069.84567899999,-0.010499138040284572,,1.0306984567899997
2009-04-13,44141.14576699998,59400.682954,103541.82872099998,0.004579254377365949,,1.0354182872099997
2009-04-14,43397.35218999998,60115.300894,103512.65308399999,-0.0002817763348434976,,1.0351265308399997
2009-04-15,42985.18801699998,60000.432484,102985.62050099997,-0.005091479807520116,,1.0298562050099995
2009-04-16,42456.44521399998,61554.726545,104011.17175899998,0.009958198562196818,,1.0401117175899997
2009-04-17,41599.71709499997,62415.37297,104015.09006499997,3.767197247883658e-05,,1.0401509006499996
2009-04-20,40764.53544299997,62343.609968000004,103108.14541099998,-0.008719356522531863,,1.0310814541099997
2009-04-21,40076.047768999975,62450.444038,102526.49180699998,-0.005641199360937543,,1.0252649180699998
2009-04-22,39337.497557999974,63049.917398,102387.41495599996,-0.001356496731223622,,1.0238741495599994
2009-04-23,38528.92615099998,64002.61932,102531.54547099998,0.0014076975677328463,,1.0253154547099996
2009-04-24,37665.667103999986,64690.15962800001,102355.82673199999,-0.0017138017201709932,,1.0235582673199997
2009-04-27,36856.007303999984,64497.115827,101353.12313099999,-0.00979625325703637,,1.0135312313099996
2009-04-28,36204.228135999976,65409.25680799999,101613.48494399997,0.00256885831395115,,1.0161348494399993
2009-04-29,35601.56803499998,66915.14499100001,102516.71302599998,0.008888860395820375,,1.0251671302599994
2009-04-30,34912.903533999975,68749.535087,103662.43862099998,0.011175988394296565,,1.0366243862099995
2009-05-01,34015.304300999975,68921.928371,102937.23267199998,-0.0069958411035594414,,1.0293723267199995
2009-05-04,33385.25266799997,69797.40759599999,103182.66026399996,0.002384245094114945,,1.0318266026399994
2009-05-05,32776.38101699998,71360.265056,104136.64607299998,0.009245601989318564,,1.0413664607299995
2009-05-06,32230.562704999975,72423.64392,104654.20662499998,0.004970013645697602,,1.0465420662499993
2009-05-07,31393.779400999978,73278.405897,104672.18529799998,0.00017179121202870462,,1.0467218529799995
2009-05-08,30507.521788999977,74049.328133,104556.84992199998,-0.0011018722468786324,,1.0455684992199994
